domain	cloudflare_id
kargo.com	3
atomex.net	115
atomex.net	15
healthproductsforyou.com	88
healthproductsforyou.com	22
healthproductsforyou.com	103
healthproductsforyou.com	10
paapi.ai	75
paapi.ai	3
deepintent.com	155
deepintent.com	26
deepintent.com	75
deepintent.com	3
r2b2.io	155
r2b2.io	26
appsflyer.com	155
appsflyer.com	26
appsflyer.com	75
appsflyer.com	3
torneos.gg	100
torneos.gg	7
open-bid.com	155
open-bid.com	26
ptb-msmt-static-5jyy5ulagq-uc.a.run.app	-10
metro.co.uk	122
metro.co.uk	7
metro.co.uk	164
metro.co.uk	7
sephora.com	88
sephora.com	22
sephora.com	94
sephora.com	24
gunosy.com	122
gunosy.com	7
worldhistory.org	189
worldhistory.org	6
adsmeasurement.com	81
adsmeasurement.com	26
fandom.com	164
fandom.com	7
fandom.com	120
fandom.com	7
fandom.com	156
fandom.com	7
yieldlab.net	81
yieldlab.net	26
admission.net	75
admission.net	3
sitescout.com	75
sitescout.com	3
youronlinechoices.eu	75
youronlinechoices.eu	3
postrelease.com	81
postrelease.com	26
ebis.ne.jp	75
ebis.ne.jp	3
2trk.info	75
2trk.info	3
2trk.info	155
2trk.info	26
googleadservices.com	66
googleadservices.com	1
pmdragonfly.com	75
pmdragonfly.com	3
pmdragonfly.com	155
pmdragonfly.com	26
authorizedvault.com	81
authorizedvault.com	26
jkforum.net	133
jkforum.net	2
jkforum.net	182
jkforum.net	34
jkforum.net	98
jkforum.net	12
explorefledge.com	81
explorefledge.com	26
retargetly.com	75
retargetly.com	3
s-f.tech	-10
aniview.com	75
aniview.com	3
paa-reporting-advertising.amazon	66
paa-reporting-advertising.amazon	1
googlesyndication.com	66
googlesyndication.com	1
googlesyndication.com	145
googlesyndication.com	26
i-mobile.co.jp	75
i-mobile.co.jp	3
facebook.com	149
facebook.com	24
samplicio.us	148
samplicio.us	22
a-mo.net	81
a-mo.net	26
bidtellect.com	75
bidtellect.com	3
atirun.com	75
atirun.com	3
taboola.com	75
taboola.com	3
taboola.com	66
taboola.com	1
adswizz.com	75
adswizz.com	3
quora.com	98
quora.com	12
quora.com	189
quora.com	6
trkkn.com	155
trkkn.com	26
protected-audience-api-advertiser.onrender.com	-10
usemax.de	75
usemax.de	3
gokwik.co	155
gokwik.co	26
gokwik.co	75
gokwik.co	3
momento.dev	75
momento.dev	3
grxchange.gr	137
grxchange.gr	9
grxchange.gr	75
grxchange.gr	3
ebayadservices.com	73
ebayadservices.com	22
dailymail.co.uk	122
dailymail.co.uk	7
dailymail.co.uk	164
dailymail.co.uk	7
dreammail.jp	82
dreammail.jp	22
bluems.com	75
bluems.com	3
finn.no	73
finn.no	22
disqus.com	75
disqus.com	3
disqus.com	155
disqus.com	26
eloan.co.jp	185
eloan.co.jp	3
akpytela.cz	101
akpytela.cz	9
primecaster.net	75
primecaster.net	3
tiktok.com	149
tiktok.com	24
tiktok.com	164
tiktok.com	7
adscale.de	75
adscale.de	3
stackadapt.com	75
stackadapt.com	3
d-edgeconnect.media	75
d-edgeconnect.media	3
d-edgeconnect.media	160
d-edgeconnect.media	27
nexxen.tech	81
nexxen.tech	26
unrulymedia.com	155
unrulymedia.com	26
unrulymedia.com	75
unrulymedia.com	3
tangooserver.com	81
tangooserver.com	26
wepowerconnections.com	75
wepowerconnections.com	3
shinobi.jp	81
shinobi.jp	26
mobon.net	75
mobon.net	3
weborama-tech.ru	81
weborama-tech.ru	26
yieldmo.com	75
yieldmo.com	3
appscience.inc	155
appscience.inc	26
appscience.inc	75
appscience.inc	3
connatix.com	75
connatix.com	3
convertunits.com	90
convertunits.com	6
audiencemanager.de	115
audiencemanager.de	15
wp.pl	122
wp.pl	7
verve.com	155
verve.com	26
amazon-adsystem.com	66
amazon-adsystem.com	1
thesun.co.uk	164
thesun.co.uk	7
thesun.co.uk	122
thesun.co.uk	7
appsflyersdk.com	69
appsflyersdk.com	26
appsflyersdk.com	81
appsflyersdk.com	26
sharethrough.com	75
sharethrough.com	3
ad-stir.com	88
ad-stir.com	22
creative-serving.com	81
creative-serving.com	26
moshimo.com	75
moshimo.com	3
vidazoo.com	155
vidazoo.com	26
vidazoo.com	75
vidazoo.com	3
smadexprivacysandbox.com	-10
globo.com	122
globo.com	7
logly.co.jp	115
logly.co.jp	15
appconsent.io	108
appconsent.io	12
presage.io	75
presage.io	3
pinterest.com	149
pinterest.com	24
pinterest.com	132
pinterest.com	24
iobeya.com	104
iobeya.com	24
getcapi.co	155
getcapi.co	26
getcapi.co	75
getcapi.co	3
snapchat.com	149
snapchat.com	24
snapchat.com	132
snapchat.com	24
lab-dotmetrics.ninja	-10
socdm.com	81
socdm.com	26
demand.supply	81
demand.supply	26
aqfer.com	75
aqfer.com	3
aqfer.com	155
aqfer.com	26
tailtarget.com	75
tailtarget.com	3
audienceproject.com	75
audienceproject.com	3
audienceproject.com	155
audienceproject.com	26
trip.com	160
trip.com	27
kompaspublishing.nl	116
kompaspublishing.nl	7
apex-football.com	122
apex-football.com	7
apex-football.com	152
apex-football.com	25
marutishanbhag.com	109
marutishanbhag.com	26
cazamba.com	155
cazamba.com	26
undertone.com	75
undertone.com	3
weborama.fr	155
weborama.fr	26
weborama.fr	75
weborama.fr	3
superfine.org	75
superfine.org	3
rubiconproject.com	155
rubiconproject.com	26
rubiconproject.com	75
rubiconproject.com	3
lwadm.com	81
lwadm.com	26
shared-storage-demo-publisher-a.web.app	-10
acxiom.com	75
acxiom.com	3
acxiom.com	155
acxiom.com	26
semafor.com	89
semafor.com	3
semafor.com	122
semafor.com	7
seedtag.com	66
seedtag.com	1
seedtag.com	155
seedtag.com	26
seedtag.com	75
seedtag.com	3
getyourguide.com	160
getyourguide.com	27
permutive.app	81
permutive.app	26
aphub.ai	81
aphub.ai	26
nodals.io	81
nodals.io	26
pixfuture.com	75
pixfuture.com	3
privacy-sandbox-demos-dsp-x.dev	-10
privacy-sandbox-demos-dsp-y.dev	155
privacy-sandbox-demos-dsp-y.dev	26
privacy-sandbox-demos-services.dev	185
privacy-sandbox-demos-services.dev	3
privacy-sandbox-demos-ssp-x.dev	-10
privacy-sandbox-demos-ssp-y.dev	-10
privacy-sandcastle-dev-dsp-x.web.app	-10
privacy-sandcastle-dev-dsp-y.web.app	-10
privacy-sandcastle-dev-services.web.app	-10
privacy-sandcastle-dev-ssp-x.web.app	-10
privacy-sandcastle-dev-ssp-y.web.app	-10
simeola.com	-10
thepopradar.com	92
thepopradar.com	7
thepopradar.com	116
thepopradar.com	7
get3rdspace.com	-10
shared-storage-demo-content-producer.web.app	-10
validate.audio	155
validate.audio	26
validate.audio	75
validate.audio	3
halcy.de	155
halcy.de	26
bright-nurse.com	113
bright-nurse.com	13
doubleverify.com	155
doubleverify.com	26
doubleverify.com	75
doubleverify.com	3
ingereck.net	109
ingereck.net	26
ingereck.net	75
ingereck.net	3
euleriancdn.net	81
euleriancdn.net	26
elnacional.cat	122
elnacional.cat	7
tamedia.com.tw	155
tamedia.com.tw	26
elle.com	94
elle.com	24
